Comparison,Method,Point,Upper,Lower
North vs South,Estimate,1.728244691,1.959966527,1.496522856
North: Small vs. Large,Estimate,0.19388384,0.214407595,0.173360085
South: Small vs. Large,Estimate,0.007390666,0.008088905,0.006692428
Large,Estimate,1.093240119,1.729480601,0.456999638
Viti Levu,Estimate,0.401668659,0.604577656,0.198759663
Vanua Levu,Estimate,4.703843301,5.713527673,3.694158929
North vs South,noAdmix,1.961748657,2.22302457,1.700472745
North: Small vs. Large,noAdmix,0.139053468,0.155504118,0.122602818
South: Small vs. Large,noAdmix,0.262898923,0.490331879,0.035465968
Large,noAdmix,0.640242415,0.80503577,0.475449061
Viti Levu,noAdmix,0.423905082,0.554259686,0.293550479
Vanua Levu,noAdmix,2.962914932,3.379072189,2.546757676
North vs South,Shores,14.66707324,57.1457525,7.430588529
North: Small vs. Large,Shores,0.316269912,0.316269912,0.316269912
South: Small vs. Large,Shores,0.10063782,0.10063782,0.10063782
Large,Shores,2.169411133,2.169411133,2.169411133
Viti Levu,Shores,4.381978303,5.79792613,3.809508925
Vanua Levu,Shores,7.261312075,21.38223718,4.231516922
North vs South,Center-shore,1.66371408,4.345116196,1.029478642
North: Small vs. Large,Center-shore,5.990880368,21.54703832,3.158945831
South: Small vs. Large,Center-shore,0.3712496,0.895045553,0.239098264
Large,Center-shore,3.991200891,6.197166433,3.203013741
Viti Levu,Center-shore,3.383683564,3.970789446,3.123533609
Vanua Levu,Center-shore,1.962422606,6.781373982,1.055674325
North vs South,Weighted,2.692970027,8.253560505,1.538248888
North: Small vs. Large,Weighted,2.66335564,5.363339631,1.876834998
South: Small vs. Large,Weighted,0.192876829,0.293551119,0.156342919
Large,Weighted,2.940903284,3.592027383,2.661039335
Viti Levu,Weighted,3.773544107,4.702125504,3.380469622
Vanua Levu,Weighted,2.098760256,6.305024253,1.210879332
